Dates,NORMAL(mm) ,ACTUAL(mm)
12-Nov-19,0,0.2
13-Nov-19,0,0.13
14-Nov-19,0,0
15-Nov-19,0,0
16-Nov-19,0,0.03
17-Nov-19,0,0
18-Nov-19,0,0.37
19-Nov-19,0,1.07
20-Nov-19,0,1.15
21-Nov-19,0,0
22-Nov-19,0,0
23-Nov-19,0,0
24-Nov-19,0,0
25-Nov-19,0,0
26-Nov-19,0,0
27-Nov-19,0,0
28-Nov-19,0,0
29-Nov-19,0,0
30-Nov-19,0,0
01-Dec-19,0,1.88
02-Dec-19,0,0.17
03-Dec-19,0,0
04-Dec-19,0,0
05-Dec-19,0,0
06-Dec-19,0,0
07-Dec-19,0,0
08-Dec-19,0,0
09-Dec-19,0,0
10-Dec-19,0,0
11-Dec-19,0,0
12-Dec-19,0,1.15
13-Dec-19,0,0
14-Dec-19,0,0
15-Dec-19,0,0
16-Dec-19,0,0
17-Dec-19,0,0.24
18-Dec-19,0,0.13
19-Dec-19,0,0
20-Dec-19,0,0
21-Dec-19,0,0.03
22-Dec-19,0,0
23-Dec-19,0,0.28
24-Dec-19,0,0
25-Dec-19,0,0
26-Dec-19,0,0.13
27-Dec-19,0,0.04
28-Dec-19,0,0.04
29-Dec-19,0,0
30-Dec-19,0,0
31-Dec-19,0,0
01-Jan-20,0,0
02-Jan-20,0,0.33
03-Jan-20,0,0.05
04-Jan-20,0,9.48
05-Jan-20,0,3.01
06-Jan-20,0,2.01
07-Jan-20,0,0
08-Jan-20,0,0
09-Jan-20,0,0.02
10-Jan-20,0,0.15
11-Jan-20,0,0
12-Jan-20,0,0
13-Jan-20,0,0
14-Jan-20,0,0
15-Jan-20,0,0
16-Jan-20,0,0
17-Jan-20,0,0
18-Jan-20,0,0
19-Jan-20,0,0.16
20-Jan-20,0,6.71
21-Jan-20,0,2.97
22-Jan-20,0,0.55
23-Jan-20,0,0.62
24-Jan-20,0,1.77
25-Jan-20,0,0
26-Jan-20,0,0
27-Jan-20,0,0
28-Jan-20,0,0
29-Jan-20,0,0
30-Jan-20,0,0.04
31-Jan-20,0,3.42
01-Feb-20,0,1.45
02-Feb-20,0,0.57
03-Feb-20,0,0.14
04-Feb-20,0,0
05-Feb-20,0,0.12
06-Feb-20,0,1.5
07-Feb-20,0,0
08-Feb-20,0,0
09-Feb-20,0,0
10-Feb-20,0,1.33
11-Feb-20,0,0
12-Feb-20,0,0
13-Feb-20,0,0
14-Feb-20,0,0
15-Feb-20,0,0
16-Feb-20,0,0.05
17-Feb-20,0,0.04
18-Feb-20,0,5.86
19-Feb-20,0,6.14
20-Feb-20,0,0.24
21-Feb-20,0,0.04
22-Feb-20,0,0
23-Feb-20,0,0
24-Feb-20,0,0
25-Feb-20,0,0
26-Feb-20,0,6.98
27-Feb-20,0,13.48
28-Feb-20,0,0.49
29-Feb-20,0,0
01-Mar-20,0,0
02-Mar-20,0,0.64
03-Mar-20,0,4.72
04-Mar-20,0,0.67
05-Mar-20,0,1.19
06-Mar-20,0,0.51
07-Mar-20,0,1.58
08-Mar-20,0,5.75
09-Mar-20,0,7.37
10-Mar-20,0,0
11-Mar-20,0,2.34
12-Mar-20,0,2.26
13-Mar-20,0,0
14-Mar-20,0,0
15-Mar-20,0,0.04
16-Mar-20,0,2.19
17-Mar-20,0,1.75
18-Mar-20,0,0
19-Mar-20,0,0.01
20-Mar-20,0,0.16
21-Mar-20,0,0.82
22-Mar-20,0,0
23-Mar-20,0,0
24-Mar-20,0,0.66
25-Mar-20,0,0
26-Mar-20,0,0.28
27-Mar-20,0,0
28-Mar-20,0,0.02
29-Mar-20,0,8.67
30-Mar-20,0,0
31-Mar-20,0,0
01-Apr-20,0,0
02-Apr-20,0,3.12
03-Apr-20,0,9.78
04-Apr-20,0,2.46
05-Apr-20,0,1.1
06-Apr-20,0,0.98
07-Apr-20,0,0.17
08-Apr-20,0,0.03
09-Apr-20,0,3.27
10-Apr-20,0,3.84
11-Apr-20,0,0.4
12-Apr-20,0,2.18
13-Apr-20,0,0.03
14-Apr-20,0,0
15-Apr-20,0,0
16-Apr-20,0,0
17-Apr-20,0,0.09
18-Apr-20,0,1.11
19-Apr-20,0,14
20-Apr-20,0,18.67
21-Apr-20,0,6.87
22-Apr-20,0,10.86
23-Apr-20,0,5.05
24-Apr-20,0,4.07
25-Apr-20,0,6.46
26-Apr-20,0,0.6
27-Apr-20,0,0
28-Apr-20,0,1.72
29-Apr-20,0,11.29
30-Apr-20,0,3.43
01-May-20,0,1.6
02-May-20,0,0
03-May-20,0,0.33
04-May-20,0,6.2
05-May-20,0,13.72
06-May-20,0,1.33
07-May-20,0,5.53
08-May-20,0,15.73
09-May-20,0,6.98
13-May-20,0,18.69
14-May-20,0,20.85
15-May-20,0,1.64
16-May-20,0,19.08
17-May-20,0,13.56
18-May-20,0,0.45
19-May-20,0,0.13
20-May-20,0,0
21-May-20,0,4.81
22-May-20,0,24.54
23-May-20,0,16.81
24-May-20,0,32.75
25-May-20,0,45.97
26-May-20,0,56.39
27-May-20,0,30.19
28-May-20,0,0.55
29-May-20,0,0
30-May-20,0,9.28
31-May-20,0,0.66
01-Jun-20,0,24.63
02-Jun-20,0,13.06
03-Jun-20,0,70.65
04-Jun-20,0,21.69
05-Jun-20,0,22.13
06-Jun-20,0,33.69
07-Jun-20,0,7.75
08-Jun-20,0,3.61
09-Jun-20,0,0
10-Jun-20,0,1.7
11-Jun-20,0,10.72
12-Jun-20,0,9.76
13-Jun-20,0,11.84
14-Jun-20,0,15.68
15-Jun-20,0,3.22
16-Jun-20,0,9.12
17-Jun-20,0,9.36
18-Jun-20,0,18.41
19-Jun-20,0,6.3
20-Jun-20,0,9.67
21-Jun-20,0,6.61
22-Jun-20,0,17.91
23-Jun-20,0,33.17
24-Jun-20,0,85.14
25-Jun-20,0,138.72
26-Jun-20,0,29.85
27-Jun-20,0,30.35
28-Jun-20,0,10.93
29-Jun-20,0,2.13
30-Jun-20,0,2.49
01-Jul-20,0,6.61
02-Jul-20,0,33.83
03-Jul-20,0,4.5
04-Jul-20,0,12.11
05-Jul-20,0,8.44
06-Jul-20,0,22.56
07-Jul-20,0,5.39
08-Jul-20,0,34.89
09-Jul-20,0,40.51
10-Jul-20,0,35.84
11-Jul-20,0,21.9
12-Jul-20,0,19.94
13-Jul-20,0,6.61
29-Jul-20,0,15.43
30-Jul-20,0,34.06
31-Jul-20,0,2.31
01-Aug-20,0,0.14
02-Aug-20,0,0.03
03-Aug-20,0,0
04-Aug-20,0,0.14
05-Aug-20,0,0.09
06-Aug-20,0,0.2
07-Aug-20,0,17.57
08-Aug-20,0,11.28
09-Aug-20,0,7.92
10-Aug-20,0,15.16
11-Aug-20,0,20.92
12-Aug-20,0,14.15
13-Aug-20,0,4.1
14-Aug-20,0,4.93
15-Aug-20,0,1.32
16-Aug-20,0,22.18
17-Aug-20,0,20.59
18-Aug-20,0,9
19-Aug-20,0,1.66
20-Aug-20,0,0
21-Aug-20,0,22.46
22-Aug-20,0,14.28
23-Aug-20,0,14.77
24-Aug-20,0,0.35
25-Aug-20,0,0
26-Aug-20,0,0
27-Aug-20,0,40.97
28-Aug-20,0,14.7
29-Aug-20,0,12.42
30-Aug-20,0,16.97
31-Aug-20,0,5.33
01-Sep-20,0,1.07
02-Sep-20,0,4.2
03-Sep-20,0,11.96
04-Sep-20,0,10.37
05-Sep-20,0,6.32
06-Sep-20,0,17.33
07-Sep-20,0,1.95
08-Sep-20,0,2.13
09-Sep-20,0,0.01
10-Sep-20,0,22.73
11-Sep-20,0,9.22
12-Sep-20,0,24.09
13-Sep-20,0,13.75
14-Sep-20,0,31.51
15-Sep-20,0,17.37
16-Sep-20,0,14.54
17-Sep-20,0,9.07
18-Sep-20,0,17.55
19-Sep-20,0,0
