Dates,NORMAL(mm),ACTUAL(mm) 
16-Oct-19,2.5,0
17-Oct-19,1.3,0
18-Oct-19,0.5,0
19-Oct-19,0.3,0
20-Oct-19,1.8,0
21-Oct-19,3.5,0
22-Oct-19,5.9,0
23-Oct-19,3.7,0
24-Oct-19,0.9,0.8
25-Oct-19,3,1.92
26-Oct-19,2.1,32.51
27-Oct-19,0.9,0.09
28-Oct-19,0,0
29-Oct-19,0.4,0
30-Oct-19,0.4,0
31-Oct-19,0.6,0
01-Nov-19,0.9,0
02-Nov-19,0.6,0
03-Nov-19,0.4,0
04-Nov-19,0,0
05-Nov-19,0.1,0.03
06-Nov-19,0.2,1.25
07-Nov-19,0,0
08-Nov-19,0.9,0
09-Nov-19,1.4,0
10-Nov-19,1.2,0.29
11-Nov-19,3.1,0.04
12-Nov-19,0,0
13-Nov-19,0.5,0
14-Nov-19,0.1,0
15-Nov-19,0.1,0
16-Nov-19,0.6,0
17-Nov-19,0.1,0
18-Nov-19,0.5,0
19-Nov-19,0.5,0
20-Nov-19,0.8,3.3
21-Nov-19,0.1,0
22-Nov-19,0.1,0
23-Nov-19,0,0
24-Nov-19,0,0
25-Nov-19,0.6,0
26-Nov-19,0.1,0
27-Nov-19,2.1,0
28-Nov-19,0.1,0
29-Nov-19,0.5,0
30-Nov-19,0,0
01-Dec-19,1.1,0
02-Dec-19,3.7,0
03-Dec-19,0,0
04-Dec-19,0,0
05-Dec-19,0.4,0
06-Dec-19,0.1,0
07-Dec-19,0,0
08-Dec-19,0.3,0
09-Dec-19,0,0
10-Dec-19,0,0
11-Dec-19,2,0
12-Dec-19,0.3,0
13-Dec-19,0.1,0
14-Dec-19,0,0
15-Dec-19,0.2,0
16-Dec-19,0,0
17-Dec-19,0.1,0
18-Dec-19,0.2,0
19-Dec-19,0,0
20-Dec-19,0,0
21-Dec-19,0,0
22-Dec-19,0,0
23-Dec-19,0,0
24-Dec-19,0,0
25-Dec-19,0,0
26-Dec-19,0,0
27-Dec-19,0.9,0
28-Dec-19,0.2,0
29-Dec-19,0,0
30-Dec-19,0,0
31-Dec-19,0.3,0
01-Jan-20,0.2,0
02-Jan-20,0,1.53
03-Jan-20,0.8,0.36
04-Jan-20,0.1,0.87
05-Jan-20,0.1,0
06-Jan-20,0,1.51
07-Jan-20,0.3,0
08-Jan-20,0.5,0
09-Jan-20,0,0
10-Jan-20,0,0
11-Jan-20,0.1,0
12-Jan-20,0,0
13-Jan-20,0.3,0
14-Jan-20,0.1,0
15-Jan-20,0,0
16-Jan-20,0.9,0
17-Jan-20,0.6,0
18-Jan-20,1.3,0
19-Jan-20,1.2,0
20-Jan-20,0.2,1.68
21-Jan-20,0.4,0
22-Jan-20,0.2,0
23-Jan-20,0.2,0
24-Jan-20,0,1.66
25-Jan-20,0.5,0.87
26-Jan-20,0,0
27-Jan-20,0,0
28-Jan-20,0.1,0
29-Jan-20,0.3,0
30-Jan-20,0.5,0
31-Jan-20,1.1,6.18
01-Feb-20,0.2,0
02-Feb-20,1.4,0
03-Feb-20,0,0
04-Feb-20,0.1,0
05-Feb-20,0.1,0
06-Feb-20,0.5,0
07-Feb-20,0.3,0
08-Feb-20,0.5,0
09-Feb-20,0.6,0
10-Feb-20,0.1,0
11-Feb-20,1.1,0
12-Feb-20,0.2,0
13-Feb-20,0.3,0
14-Feb-20,0.1,0
15-Feb-20,2.6,0
16-Feb-20,3.5,0
17-Feb-20,1,0
18-Feb-20,0.2,0
19-Feb-20,0.3,0.94
20-Feb-20,0.1,0
21-Feb-20,1.7,0
22-Feb-20,0.8,0
23-Feb-20,2.2,0
24-Feb-20,0.2,0
25-Feb-20,0.6,0
26-Feb-20,0.7,1.4
27-Feb-20,1.8,16.37
28-Feb-20,1.5,0
29-Feb-20,0,0
01-Mar-20,0.9,0
02-Mar-20,1.9,0
03-Mar-20,1.4,0.49
04-Mar-20,0.9,10.32
05-Mar-20,0.3,0
06-Mar-20,0.1,0.36
07-Mar-20,0.1,0
08-Mar-20,1.3,3.35
09-Mar-20,0.9,0
10-Mar-20,0.1,0
11-Mar-20,0.2,0
12-Mar-20,0,0
13-Mar-20,2.5,0
14-Mar-20,0.7,0
15-Mar-20,0.4,0.03
16-Mar-20,1.3,0
17-Mar-20,2.1,0
18-Mar-20,1,0
19-Mar-20,3.2,0
20-Mar-20,6.1,0
21-Mar-20,1.4,0.01
22-Mar-20,2.6,3.39
23-Mar-20,1.6,0.04
24-Mar-20,2.8,0
25-Mar-20,2.4,0
26-Mar-20,1.3,0
27-Mar-20,7.6,0
28-Mar-20,1.7,0
29-Mar-20,1.3,0
30-Mar-20,1.1,0
31-Mar-20,5.5,0
01-Apr-20,4.3,0
02-Apr-20,2.8,0
03-Apr-20,3.1,0
04-Apr-20,2.2,0
05-Apr-20,7.1,0
06-Apr-20,3.2,0
07-Apr-20,2.8,0
08-Apr-20,2.9,0
09-Apr-20,6.1,0.04
10-Apr-20,7.5,10.54
11-Apr-20,2.9,0
12-Apr-20,4.6,0.01
13-Apr-20,3.3,0
14-Apr-20,3.9,0
15-Apr-20,5.5,0
16-Apr-20,7.9,3.54
17-Apr-20,13.6,12.41
18-Apr-20,8.1,13.84
19-Apr-20,7.3,21.43
20-Apr-20,5.5,20.18
21-Apr-20,11.8,0.06
22-Apr-20,5.7,15.15
23-Apr-20,6.6,4.37
24-Apr-20,7.8,24.29
25-Apr-20,6.1,19.31
26-Apr-20,5.2,0.12
27-Apr-20,9,0
28-Apr-20,13.4,0.38
29-Apr-20,12.5,0.62
30-Apr-20,9.5,2.4
01-May-20,9.6,5.65
02-May-20,11.1,0
03-May-20,13.7,0.95
04-May-20,13.8,1.71
05-May-20,5,0.42
06-May-20,15.2,6.5
07-May-20,13.6,3.44
08-May-20,15.2,6.38
09-May-20,10.2,1.71
13-May-20,9.8,0.25
14-May-20,12.7,43.04
15-May-20,6.9,17.7
16-May-20,6.6,35.18
17-May-20,13.7,48.6
18-May-20,12.5,0
19-May-20,13.3,0
20-May-20,13.5,0
21-May-20,12.4,23.01
22-May-20,20.5,41.64
23-May-20,10.9,49.47
24-May-20,8.1,30.43
25-May-20,9.6,48.28
26-May-20,12,131.18
