Dates,NORMAL(mm) ,ACTUAL(mm) 
26-Oct-19,0.3,0
27-Oct-19,0.8,0
28-Oct-19,0,0
29-Oct-19,0.1,0
30-Oct-19,1.3,0
31-Oct-19,1.3,0
01-Nov-19,0.3,0
02-Nov-19,0.2,0
03-Nov-19,0,0
04-Nov-19,0.1,0
05-Nov-19,0,0.97
06-Nov-19,0,0
07-Nov-19,0,0
08-Nov-19,0,0
09-Nov-19,0,0
10-Nov-19,0.5,0
11-Nov-19,0.1,0
12-Nov-19,0,0
13-Nov-19,0,0
14-Nov-19,0,0
15-Nov-19,0.2,0
16-Nov-19,0,0
17-Nov-19,0.1,0
18-Nov-19,0,0
19-Nov-19,0,0
20-Nov-19,0,0
21-Nov-19,0,0
22-Nov-19,0,0
23-Nov-19,0,0
24-Nov-19,0,0
25-Nov-19,0,0
26-Nov-19,0,0
27-Nov-19,0,0
28-Nov-19,0,0
29-Nov-19,0,0
30-Nov-19,0,0
01-Dec-19,0.1,0
02-Dec-19,0.2,0
03-Dec-19,0.1,0
04-Dec-19,0.1,0
05-Dec-19,0,0
06-Dec-19,0.3,0
07-Dec-19,0,0
08-Dec-19,0,0
09-Dec-19,0,0
10-Dec-19,0.1,0
11-Dec-19,0.2,0
12-Dec-19,0,0
13-Dec-19,0.3,2.78
14-Dec-19,0.5,14.82
15-Dec-19,0,0
16-Dec-19,0.1,0
17-Dec-19,0.1,0
18-Dec-19,1.1,0
19-Dec-19,0.3,0
20-Dec-19,0,0
21-Dec-19,0,0
22-Dec-19,0,0
23-Dec-19,0.1,0
24-Dec-19,0.3,0
25-Dec-19,0.7,0
26-Dec-19,0.6,0
27-Dec-19,0.4,0
28-Dec-19,0,0
29-Dec-19,0.8,0
30-Dec-19,0.7,0
31-Dec-19,0.1,0
01-Jan-20,0.3,0
02-Jan-20,0.9,0
03-Jan-20,0.1,2.78
04-Jan-20,0.6,7.35
05-Jan-20,0.4,0
06-Jan-20,0.9,0
07-Jan-20,0.3,0
08-Jan-20,0.4,0.05
09-Jan-20,0.3,5.69
10-Jan-20,0.7,0
11-Jan-20,0.3,0
12-Jan-20,0.1,0
13-Jan-20,0.1,0
14-Jan-20,0.2,0
15-Jan-20,0.4,0
16-Jan-20,0.8,0.18
17-Jan-20,0.8,17.07
18-Jan-20,0.8,0.64
19-Jan-20,0.8,0
20-Jan-20,0.5,0
21-Jan-20,1.3,0
22-Jan-20,0.8,0
23-Jan-20,0.1,0
24-Jan-20,0.1,0
25-Jan-20,0.7,0
26-Jan-20,0.9,0
27-Jan-20,0.9,0
28-Jan-20,0.3,0
29-Jan-20,1.3,0
30-Jan-20,0.2,0
31-Jan-20,0.5,0
01-Feb-20,0.4,0
02-Feb-20,0.3,0
03-Feb-20,0.3,0
04-Feb-20,0.6,0
05-Feb-20,1,0
06-Feb-20,1.3,0
07-Feb-20,0,0
08-Feb-20,0.3,0
09-Feb-20,0.2,0
10-Feb-20,0.5,0
11-Feb-20,0.2,0
12-Feb-20,0,0
13-Feb-20,0.5,0
14-Feb-20,0.4,0
15-Feb-20,0.4,0
16-Feb-20,0.1,0
17-Feb-20,0.2,0
18-Feb-20,0.6,0
19-Feb-20,2.6,0
20-Feb-20,1.2,0
21-Feb-20,0.7,0
22-Feb-20,0.3,9.75
23-Feb-20,0.1,0
24-Feb-20,0.3,0
25-Feb-20,0.2,14.71
26-Feb-20,0.1,1.42
27-Feb-20,0.1,0.01
28-Feb-20,0.3,0
29-Feb-20,0,0
01-Mar-20,0.1,0
02-Mar-20,0.6,0
03-Mar-20,0.1,0
04-Mar-20,0,0
05-Mar-20,0.5,0
06-Mar-20,0.3,7.5
07-Mar-20,0.6,25.96
08-Mar-20,0.1,0
09-Mar-20,0.1,0
10-Mar-20,0.1,0
11-Mar-20,0.6,0
12-Mar-20,1,0.19
13-Mar-20,0.1,18.95
14-Mar-20,0,7.27
15-Mar-20,0.1,0
16-Mar-20,0.2,0
17-Mar-20,0,0
18-Mar-20,0.1,0
19-Mar-20,0.1,0
20-Mar-20,0.3,0
21-Mar-20,0,0
22-Mar-20,0.3,0.36
23-Mar-20,0.4,2.19
24-Mar-20,1.3,0
25-Mar-20,0.9,0
26-Mar-20,0.4,0
27-Mar-20,0.1,0
28-Mar-20,0,0
29-Mar-20,0.3,0
30-Mar-20,0.8,0
31-Mar-20,1.6,0
01-Apr-20,0.6,0
02-Apr-20,0,0
03-Apr-20,0,0
04-Apr-20,0.3,0
05-Apr-20,0,0
06-Apr-20,0.1,0
07-Apr-20,0,0
08-Apr-20,0,0
09-Apr-20,0,0
10-Apr-20,0.3,0
11-Apr-20,0.7,0
12-Apr-20,0.6,0
13-Apr-20,0.1,0
14-Apr-20,0.1,0
15-Apr-20,0.1,0
16-Apr-20,0.3,0
17-Apr-20,0.2,0
18-Apr-20,0.5,0.05
19-Apr-20,0.2,0
20-Apr-20,0.1,0.34
21-Apr-20,0.2,10.68
22-Apr-20,0.3,0.75
23-Apr-20,0.4,0
24-Apr-20,0.5,0
25-Apr-20,0.7,0
26-Apr-20,0.1,0.55
27-Apr-20,0.2,1.42
28-Apr-20,0,0
29-Apr-20,0.4,4.86
30-Apr-20,0.2,0
01-May-20,1,8.8
02-May-20,0.4,4.96
03-May-20,0.4,0
04-May-20,1.4,0.01
05-May-20,0.1,1.12
06-May-20,1,6.43
07-May-20,0.1,0.88
08-May-20,0.7,2.29
09-May-20,0.9,0
13-May-20,2.5,0
14-May-20,0.3,0
15-May-20,1.2,0
16-May-20,0.9,0
17-May-20,0,0
18-May-20,0.9,0
19-May-20,1,0
20-May-20,1.4,0
21-May-20,1.4,0
22-May-20,0.4,0
23-May-20,0.7,0
24-May-20,0.1,0
25-May-20,0.5,0
26-May-20,0.5,0
27-May-20,0.7,0
28-May-20,1.2,6.88
29-May-20,1.1,0
30-May-20,1.8,0.07
31-May-20,0.3,8.59
01-Jun-20,1.2,0
02-Jun-20,2.8,4.2
03-Jun-20,4.3,0.05
04-Jun-20,2.2,0
05-Jun-20,3.9,17.75
06-Jun-20,4.1,13.73
07-Jun-20,2,0.79
08-Jun-20,1.3,0
09-Jun-20,1.4,0
10-Jun-20,5.3,0
11-Jun-20,3.9,0.07
12-Jun-20,1.3,0
13-Jun-20,2.2,0
14-Jun-20,2.6,0
15-Jun-20,5,2
16-Jun-20,4.3,35.05
17-Jun-20,4.4,55.08
18-Jun-20,6.5,9.54
19-Jun-20,5.8,16.6
20-Jun-20,4.1,35.39
21-Jun-20,1.7,43.71
22-Jun-20,2.3,16.26
23-Jun-20,5.6,8.69
24-Jun-20,5.8,18.02
25-Jun-20,5,15.82
26-Jun-20,8.1,15.35
27-Jun-20,7.1,1.21
28-Jun-20,9.6,21.9
29-Jun-20,8.6,14.36
30-Jun-20,7.6,12.72
01-Jul-20,9.1,3.12
02-Jul-20,10.4,3.55
03-Jul-20,4.5,3.27
04-Jul-20,6.5,27.9
05-Jul-20,10.8,3.52
06-Jul-20,12.4,26.22
07-Jul-20,11.1,77.9
08-Jul-20,9.8,43.27
09-Jul-20,9.5,9.09
10-Jul-20,8.6,43.02
11-Jul-20,8.4,26.74
12-Jul-20,12.3,7.39
13-Jul-20,8.9,3.59
29-Jul-20,11.1,36.65
30-Jul-20,8.8,15.85
31-Jul-20,9,30
01-Aug-20,10,3.92
02-Aug-20,14.4,0.05
03-Aug-20,11.1,0.36
